x     y
0.883797     -0.328317
1.56809     0.42075
2.56234     0.120989
2.52426     -0.84632
3.45227     -1.23178
3.61372     -0.429123
4.49107     -0.620571
4.65895     0.250157
3.79488     0.746367
2.85951     1.59722
3.48873     1.93898
3.95586     2.9599
5.01606     3.56625
5.88164     2.97681
6.48638     1.89213
5.83276     1.92748
6.26779     2.61942
5.8224     2.115
4.7603     1.71417
4.68628     0.680299
3.95971     -0.293791
3.07936     0.0755151
1.85981     0.375306
1.53415     1.41457
1.27091     2.69102
0.891706     2.21988
-0.160137     2.24296
-0.385345     3.18509
0.0952157     2.73744
0.708189     3.4152
1.67969     3.0931
2.84248     3.41591
2.82599     4.37534
2.37022     5.52349
1.29705     5.70573
1.86755     5.6013
2.73839     6.21885
2.62016     7.27442
2.82163     8.53779
2.22492     9.62838
2.7411     9.37745
1.97086     9.26275
2.58225     9.59226
2.36716     10.5467
1.57809     10.2531
2.03245     9.5435
2.68836     10.1035
3.51443     11.0112
4.64463     10.916
4.87188     9.95346
5.72466     10.1666
5.30595     9.60933
6.1022     9.53813
5.52722     9.08706
5.53137     8.01444
4.90164     6.95649
4.01643     5.94591
3.4311     4.71203
3.1595     5.24044
3.17154     6.35379
3.47258     7.6197
3.9902     8.88712
4.91598     9.87662
4.96468     11.1127
4.4898     10.72
5.1963     10.2135
6.01477     10.7857
7.21065     10.7845
8.545     10.8995
9.4309     11.7711
8.9303     11.5563
7.83358     11.3289
7.38592     12.1923
6.97857     11.5733
5.90986     11.5031
6.05417     10.6807
6.49439     9.54916
5.96564     8.51427
6.3765     7.43161
7.3042     7.58415
6.81286     8.13298
6.1966     9.14305
6.29835     10.3711
5.94202     9.92221
6.09466     10.6755
6.97187     11.3805
7.3775     10.6795
6.69975     10.9233
5.64593     10.5536
5.92424     9.72852
6.43639     8.6091
7.44344     8.67119
6.84709     8.54974
5.79081     8.11736
5.76003     7.08687
4.81045     6.82431
4.96395     5.91951
4.10489     5.86362
4.75998     5.89588
4.18504     5.39715
4.92269     5.38999
5.67841     4.59454
5.94242     5.27212
5.25685     4.95903
5.05755     3.91231
5.3709     2.70047
4.80524     2.95973
3.97829     3.73994
4.59909     3.708
5.40409     4.42619
6.60379     4.81204
7.87642     4.58396
8.86995     5.25944
8.85025     4.60952
9.65248     4.87737
10.4586     5.74038
10.3741     6.90218
11.0361     6.64718
10.9913     5.65754
11.296     6.21461
11.5069     5.46385
10.7523     4.75701
11.1904     3.87857
11.3601     4.52828
12.3535     4.85114
12.8106     5.89312
12.0202     6.24679
10.8404     6.58641
11.0271     5.95631
12.0296     5.67783
13.2981     5.71113
14.3995     5.06762
14.8617     5.79112
14.9163     6.96984
15.4391     6.56631
16.4342     5.96793
16.6138     6.69895
16.2013     6.12668
16.7253     5.2641
15.9609     4.8924
14.788     4.98267
13.5463     4.60627
14.0691     4.37391
14.9346     4.93771
14.7778     5.95667
15.1918     5.47689
15.4865     4.38728
15.2081     3.15979
15.3775     1.84502
14.6782     1.97045
14.0974     1.13591
13.1968     0.234066
12.5751     -0.952849
11.616     -1.91737
12.2289     -2.1004
13.0001     -2.91468
13.4564     -4.10763
14.5092     -4.78405
14.9472     -5.9483
16.0165     -6.14541
17.1385     -6.76144
18.2151     -6.3382
17.6455     -6.03359
17.1689     -5.03389
17.9149     -4.43582
19.0222     -3.84708
19.7395     -4.52702
20.8626     -4.42601
21.4876     -5.30122
21.9282     -4.67922
21.1467     -4.6362
20.3547     -5.40055
19.5471     -6.42563
20.1262     -6.35591
20.6466     -5.44853
21.0306     -6.06507
20.7487     -5.42152
21.597     -5.17368
22.2202     -5.97025
23.0339     -5.51341
22.4951     -4.87865
21.4934     -5.12859
21.3135     -6.14205
21.7955     -5.70847
21.972     -4.62127
21.1455     -3.93474
20.2907     -2.96203
19.88     -3.57218
19.29     -2.94878
18.7274     -1.87209
19.126     -0.774703
19.1807     -1.34847
20.0253     -1.08587
19.4366     -0.635593
20.088     -0.898303
20.9018     -0.255868
22.0668     0.258576
21.9193     -0.345725
22.5841     0.0686745
21.8629     0.195688
20.724     0.523672
21.2272     0.301966
21.5374     1.16004
21.2018     2.28042
21.0153     3.59373
20.0149     4.12421
18.7554     4.47767
19.0489     3.97909
18.8538     4.70905
18.1973     4.2182
17.0448     4.18594
17.3769     3.56208
18.3558     2.98651
18.4912     1.87137
17.8723     2.16891
17.1304     1.49219
17.4964     1.98264
17.571     3.08773
16.6976     3.7425
15.5226     3.6326
14.4771     2.91665
14.1269     3.62081
13.0773     3.99233
11.8391     4.43217
12.3159     4.89137
12.4826     4.10166
13.4754     3.73669
14.6747     3.98226
15.6318     4.82456
16.3629     4.25731
16.8783     3.16543
16.5817     3.61965
16.5373     2.82983
17.3438     2.10356
18.5131     2.14086
19.595     2.79345
20.6116     2.33372
21.1519     1.25945
20.5444     1.41953
20.0268     0.584284
19.9756     1.24084
19.8906     2.40005
19.5336     3.67012
19.513     3.15582
18.9652     2.2122
17.8694     2.13199
18.4455     2.05458
17.8484     1.51298
16.7957     1.73269
15.614     1.36028
16.1204     1.5162
15.6839     2.2911
15.2577     3.44942
14.1785     3.93963
14.7147     3.80928
15.7138     4.23037
16.8275     3.84207
18.044     4.13022
17.5259     4.41527
18.293     4.43546
17.7337     3.96828
16.9207     3.10803
15.9364     3.43776
14.7534     3.15015
14.2552     2.1172
14.0611     2.71527
14.359     3.78494
13.8838     3.39394
13.9483     4.17968
14.5828     5.15791
14.562     4.57024
15.3305     4.91069
14.6443     5.0542
14.7844     5.96973
15.1959     7.14426
15.0463     8.43394
14.9853     9.80657
15.6093     10.9523
15.7349     12.2734
16.1191     13.5922
15.8322     13.1853
14.8415     13.3456
13.5945     13.1787
13.1799     12.1802
12.8411     12.7686
12.0586     12.3009
12.0123     11.2269
11.341     11.5462
11.8156     11.0192
12.9146     10.9046
14.2229     10.8269
15.1646     11.5968
15.7691     12.7503
15.2588     12.5166
16.0013     12.6756
15.7896     11.9052
16.6583     11.7306
16.6225     10.7875
15.7383     10.8307
16.3422     11.1302
17.2955     10.6615
18.338     9.90211
19.4471     10.2047
19.8963     9.36608
19.1076     9.17725
19.3633     9.90167
18.5531     10.4382
18.1787     9.68005
17.1115     9.45529
16.6566     10.318
15.9129     9.87181
16.6043     9.64186
16.6912     8.63339
16.4601     7.39101
17.2743     7.28436
18.3234     7.78175
19.2696     7.21743
19.2918     7.92535
20.0596     7.6041
20.6975     6.635
20.4458     7.13256
19.9514     6.44969
19.2073     6.9659
18.7068     6.22959
18.4814     6.92514
17.486     7.362
17.8196     8.17551
17.2688     7.77541
17.9928     7.38685
19.1664     7.39849
19.0754     6.59216
19.5519     7.11839
19.5569     8.22399
20.4918     8.45821
20.2526     9.30147
20.5279     10.456
19.9168     10.2124
20.6546     10.0808
20.1182     9.51058
19.285     9.99912
19.3947     11.0215
18.7574     12.0216
19.0918     13.1231
19.2888     14.4292
18.5527     15.3606
18.0966     14.7521
17.7758     15.4769
18.107     16.5532
19.0753     17.303
19.5711     16.6261
19.0533     17.0503
18.0146     17.5642
17.7562     18.6743
17.762     18.1059
16.8551     17.6654
15.8704     18.1691
14.7504     17.825
13.6636     17.094
13.5718     17.7536
13.4783     18.9141
14.3236     19.6485
14.2363     20.7609
15.1233     20.9089
14.8047     21.6735
14.6108     22.8671
14.871     24.15
14.4848     25.3934
14.0335     24.9219
14.8008     24.981
15.06     24.0579
14.3225     24.2085
14.4065     25.1419
13.9512     26.2627
14.3195     27.4227
15.0093     27.0561
14.7781     26.1115
13.9331     25.2496
14.5063     24.5646
13.8141     24.0064
13.5371     24.762
13.8584     24.1667
14.3066     24.8472
13.5477     24.8213
12.4749     24.3471
11.1752     24.1509
11.3853     23.3963
12.398     23.1642
11.8626     22.7307
10.7417     22.5575
10.2353     21.5663
10.8821     21.7087
10.2508     22.1704
10.4215     21.4619
9.59612     20.8933
9.95839     20.0091
10.6176     18.9404
11.2283     17.7262
