string	number
A	9
B	15
BA	279
C	11
CA	299
CB	317
BAC	1610
D	8
DA	290
BD	296
ADB	1470
CD	294
CDA	1474
CDB	1482
BACD	2380
E	7
EA	281
EB	308
ABE	1495
EC	313
CEA	972
ACE	485
BEC	1543
BECA	1565
CAEB	831
DE	337
AED	1466
BED	1535
DABE	2454
DCE	1477
EDAC	2239
CAED	192
BDCE	2372
CEABD	901
ACDBE	352
F	13
FA	295
FB	299
BAF	466
FAB	973
FC	279
FAC	1506
BFC	1591
ABFC	195
BCFA	2156
FD	298
FDA	1541
DBF	1481
DABF	843
FBDA	1526
CDF	1506
CDAF	2371
DCFB	2395
BDAFC	96
ABDCF	1133
FE	320
AFE	1520
FBE	1457
BAFE	859
FEBA	1638
FEC	1509
AFCE	2504
BECF	2391
ABFCE	107
FABEC	1125
DEF	1479
FAED	2381
DBFE	2450
BDEAF	404
EDBFA	804
DECF	2407
ECDFA	1236
EBCDF	1200
G	15
GA	308
BG	296
AGB	1487
CG	260
CAG	1510
BCG	1494
BCGA	2344
DG	293
GDA	1554
GDB	1531
BDGA	2431
GDC	1484
DAGC	2395
CDGB	2438
BDCGA	1149
EG	326
EGA	1487
GEB	1449
EBAG	2493
GEC	1529
GECA	2406
EGCB	2456
BEAGC	1165
GED	1526
EDGA	2389
EGDB	2386
EBDGA	1239
GCED	2329
GEACD	1160
GEDBC	1244
FG	330
GFA	1523
GFB	1477
ABGF	2391
FGC	1490
FGAC	1204
AFCG	1224
GCFB	1860
CBGF	614
BGFCA	769
CBAFG	432
FDG	1496
FDGA	2369
BDFG	2494
FGDBA	1229
FGCD	2362
DCFGA	611
ADCFG	594
BDCFG	911
CBDGF	308
EFG	1496
AFEG	2355
FGBE	2477
BEGAF	1174
FCEG	2429
FCGAE	601
FCAGE	603
BFEGC	882
GCEBF	290
EFDG	2425
GDFEA	1173
DEFGB	1241
GCFDE	1208
H	16
AH	291
HB	285
HBA	1534
CH	318
AHC	1486
BCH	1491
AHCB	2407
HD	305
AHD	1537
HBD	1493
ABDH	2391
DCH	1537
AHDC	2424
HBCD	2454
ACBHD	1157
HE	298
EHA	1426
HBE	1569
BAHE	2410
ECH	1535
CEHA	2355
EBCH	2436
CBAEH	1247
DEH	1498
DEAH	2404
BDEH	2411
DEBHA	1159
HECD	2419
HECAD	1203
BHEDC	1242
FH	316
FHA	1504
BHF	1478
AHFB	2357
FCH	1464
FACH	2376
HCFB	2427
HCFAB	1216
FDH	1490
AHFD	2443
BFHD	2389
ABDFH	1162
FDCH	2409
DHCFA	1159
DBCHF	1212
EHF	1484
AHEF	2374
FEBH	2332
AHEFB	1180
FEHC	2389
FCAEH	1201
FBECH	1212
FHDE	2366
AFEDH	1263
DBEHF	1141
FCEDH	1208
GH	276
AHG	1502
HGB	1521
GBHA	2402
GHC	1577
GHAC	2460
GCBH	2365
AHBCG	1199
DGH	1505
GADH	2379
GDBH	2402
AHGBD	1218
CHGD	2408
GDCAH	1193
GBHDC	1182
GEH	1559
EHGA	2353
GHEB	2459
HBAEG	1206
GCHE	2411
EGACH	1194
BEHCG	1160
GHED	2395
HAGDE	1123
EGBDH	1198
HDGEC	1228
HGF	1516
FGAH	2385
GHBF	2359
BFGAH	1219
FHCG	2363
AGHFC	1193
BGHCF	1230
DGFH	2365
FDAGH	1244
HDFGB	1176
FDGCH	1236
EFGH	2387
HEAGF	1213
HFGBE	1211
FECGH	1179
DGFHE	1169
I	6
IA	288
IB	284
BAI	1464
CI	292
CAI	530
IAC	968
CIB	1478
ACIB	193
AICB	2205
DI	276
DAI	1455
DIB	1547
ADBI	2412
DIC	1493
DCAI	776
IDAC	1587
IDBC	2419
ACIBD	98
ADIBC	1060
EI	325
AEI	1428
EBI	1530
IABE	2443
IEC	1450
AECI	785
EICA	1618
BECI	2381
EACIB	98
BACEI	1098
IED	1483
EAID	2364
EDIB	2442
DIABE	1271
CDIE	2443
CEAID	433
IDECA	802
CIDEB	1168
IF	312
FIA	1470
FBI	1449
FIAB	2370
FCI	1545
ACIF	828
FIAC	1552
BFIC	2409
FCAIB	115
FBIAC	1138
FDI	1540
DIFA	2334
FDIB	2382
BIADF	1207
IDCF	2396
DCFAI	407
FICAD	802
IFDBC	1194
FIE	1530
FAEI	2333
FEIB	2431
IEFAB	1222
CFIE	2396
CEFAI	375
FAICE	818
EBICF	1222
FIED	2412
DFIAE	1120
BIDFE	1220
FCIDE	1150
GI	309
AIG	1469
BGI	1532
IGBA	2377
GCI	1482
CGAI	796
CGIA	1569
GCIB	2311
GCAIB	104
ACBGI	1115
GDI	1505
GDIA	2409
GBDI	2460
IBADG	1235
CDIG	2465
DACGI	357
AGIDC	809
DCGIB	1179
IEG	1501
GAEI	2410
GIBE	2376
BIAGE	1165
CIEG	2397
CAEIG	430
GAICE	778
CBIGE	1182
DIGE	2419
GEIDA	1146
DGIEB	1250
GCIDE	1171
FGI	1510
AFIG	2431
BFGI	2407
FIABG	1166
FIGC	2491
FACGI	399
GAFIC	748
BFCIG	1200
DIFG	2332
FADGI	1138
IBDFG	1161
DIGCF	1151
FIEG	2407
GAEIF	1206
FGBEI	1175
CIFEG	1224
EDIGF	1200
IH	283
AIH	1440
IHB	1500
HBIA	2378
ICH	1554
CAHI	800
HAIC	1622
CHIB	2497
CAIHB	117
HICBA	1069
HDI	1435
DAHI	2350
