time	nstep
0	13037
1	36069
2	12736
3	17440
4	25197
5	28285
6	17519
7	19190
8	27279
9	18472
10	17352
11	16255
12	33036
13	24331
14	12101
15	56956
16	8004
17	9222
18	25403
19	46058
20	54182
21	5997
22	10075
23	10043
24	50544
25	65834
26	23434
27	5975
28	9317
29	8069
30	13483
31	5152
32	32198
33	14635
34	18254
35	22787
36	17545
37	12731
38	9365
39	10335
40	15990
41	15815
42	21740
43	8810
44	8148
45	38163
46	14648
47	24136
48	8493
49	33609
50	25353
51	12986
52	26767
53	11747
54	8569
55	27759
56	35728
57	13271
58	11235
59	8653
60	7157
61	82995
62	19198
63	23090
64	22731
65	23878
66	4889
67	5209
68	33011
69	21282
70	6555
71	10690
72	11074
73	6153
74	20458
75	12215
76	32469
77	33127
78	36530
79	10993
80	22246
81	10881
82	21678
83	26897
84	10168
85	7704
86	12477
87	12232
88	12854
89	49448
90	24682
91	7589
92	30917
93	43016
94	18531
95	17265
96	15569
97	9159
98	7234
99	11106
