time	distance
0	0.6
1	0.827706
2	1.03305
3	1.24802
4	1.38628
5	1.56272
6	1.8051
7	1.93451
8	1.99657
9	2.10752
10	2.16545
11	2.30458
12	2.38064
13	2.47723
14	2.57621
15	2.63683
16	2.79803
17	2.8086
18	2.9107
19	2.91622
20	2.89215
21	2.90188
22	2.97591
23	2.99281
24	3.03258
25	3.0554
26	3.21105
27	3.31888
28	3.36026
29	3.45803
30	3.74444
31	3.77906
32	3.75544
33	3.76669
34	3.81459
35	3.95771
36	4.01721
37	3.97765
38	4.04335
39	4.02399
40	4.06193
41	4.0433
42	4.03767
43	4.03461
44	4.14114
45	4.15319
46	4.17092
47	4.28204
48	4.27069
49	4.36029
50	4.4672
51	4.52002
52	4.50004
53	4.51099
54	4.61888
55	4.64424
56	4.66017
57	4.63157
58	4.60938
59	4.63756
60	4.67565
61	4.66554
62	4.6843
63	4.66402
64	4.75827
65	4.79156
66	4.78172
67	4.72693
68	4.82224
69	4.86663
70	4.9251
71	4.92194
72	4.95189
73	5.03221
74	5.06746
75	5.1878
76	5.20807
77	5.30876
78	5.30487
79	5.32269
80	5.24419
81	5.33835
82	5.41893
83	5.49241
84	5.5551
85	5.59685
86	5.61946
87	5.70185
88	5.61824
89	5.70603
90	5.79457
91	5.92099
92	5.94713
93	5.9823
94	6.03781
95	6.0714
96	6.11166
97	6.12038
98	6.07552
99	6.10067
100	6.09954
101	6.12734
102	6.16512
103	6.17741
104	6.18633
105	6.17511
106	6.23968
107	6.29481
108	6.42229
109	6.44758
110	6.43749
111	6.49191
112	6.51577
113	6.59538
114	6.60845
115	6.60688
116	6.65954
117	6.70806
118	6.59822
119	6.68283
120	6.7223
121	6.77312
122	6.77323
123	6.78914
124	6.86855
125	7.01483
126	7.02761
127	7.14743
128	7.1452
129	7.22648
130	7.23002
131	7.17271
132	7.21781
133	7.2041
134	7.24703
135	7.29829
136	7.28595
137	7.27704
138	7.37063
139	7.38529
140	7.36489
141	7.29573
142	7.32018
143	7.36287
144	7.35598
145	7.39786
146	7.38113
147	7.47168
148	7.59872
149	7.67845
150	7.6748
151	7.69863
152	7.69643
153	7.72085
154	7.77925
155	7.90679
156	8.02228
157	8.03732
158	7.9949
159	8.10658
160	8.21786
161	8.30198
162	8.35739
163	8.40042
164	8.42305
165	8.43341
166	8.36905
167	8.32548
168	8.37329
169	8.44735
170	8.55469
171	8.59914
172	8.5897
173	8.57039
174	8.58042
175	8.6094
176	8.65991
177	8.69332
178	8.68973
179	8.79345
180	8.80926
181	8.84468
182	8.88945
183	8.88623
184	8.85006
185	8.84853
186	8.91973
187	8.98751
188	8.93096
189	8.92853
190	8.92957
191	8.93788
192	8.92874
193	8.96288
194	9.08026
195	9.11722
196	9.17483
197	9.14853
198	9.20316
199	9.15781
200	9.13898
201	9.17904
202	9.23042
203	9.3109
204	9.44228
205	9.49095
206	9.50688
207	9.48725
208	9.45695
209	9.54136
210	9.59161
211	9.51748
212	9.53827
213	9.48447
214	9.52865
215	9.55961
216	9.57549
217	9.66919
218	9.75397
219	9.74662
220	9.73178
221	9.73853
222	9.70339
223	9.72313
224	9.74525
225	9.79084
226	9.79383
227	9.85928
228	9.81159
229	9.82204
230	9.81996
231	9.8974
232	9.88132
233	9.87314
234	9.92007
235	9.88002
236	9.84039
237	9.87423
238	9.87393
239	9.82587
240	9.90641
241	9.94336
242	9.99609
243	10.0811
244	10.0903
245	10.1053
246	10.0464
247	10.0667
248	9.98913
249	9.97467
250	9.92064
251	9.98162
252	10.1122
253	10.1255
254	10.1024
255	10.0438
256	10.1128
257	10.1682
258	10.1844
259	10.2439
260	10.2499
261	10.3414
262	10.3455
263	10.4173
264	10.4616
265	10.4737
266	10.4756
267	10.4768
268	10.4085
269	10.4943
270	10.4706
271	10.4499
272	10.4516
273	10.3822
274	10.4637
275	10.4663
276	10.4169
277	10.4511
278	10.4655
279	10.5231
280	10.4806
281	10.5494
282	10.6415
283	10.6466
284	10.6317
285	10.6398
286	10.606
287	10.6238
288	10.5876
289	10.5468
290	10.6054
291	10.6056
292	10.5286
293	10.5894
294	10.5891
295	10.583
296	10.6554
297	10.7216
298	10.69
299	10.7386
300	10.6606
301	10.6942
302	10.6108
303	10.6088
304	10.5921
305	10.5474
306	10.6417
307	10.736
308	10.6037
309	10.6011
310	10.6759
311	10.718
312	10.6936
313	10.7361
314	10.7735
315	10.8917
316	10.9209
317	10.9566
318	11.0058
319	10.9921
320	10.9345
321	11.0416
322	11.1311
323	11.1311
324	11.1358
325	11.1539
326	11.2498
327	11.3161
328	11.3576
329	11.4119
330	11.4469
331	11.3673
332	11.3594
333	11.3748
334	11.3793
335	11.377
336	11.4417
337	11.3452
338	11.3888
339	11.4105
340	11.4876
341	11.5167
342	11.4916
343	11.5433
344	11.5051
345	11.6116
346	11.633
347	11.6494
348	11.6751
349	11.6613
350	11.6431
351	11.6336
352	11.5857
353	11.6602
354	11.583
355	11.6223
356	11.6942
357	11.7197
